Date,absorbed,length,completion,absorbedCompletion,unabsorbedCompletion,starts,construction
1999-02-28,1457,13.9,,78,4014,,
1999-03-31,1476,14.5,5439,70.3,4105,6408,25500
1999-04-30,606,9,,46.6,3840,,
1999-05-31,942,11.1,,63.1,3641,,
1999-06-30,1768,12.3,5082,62.9,4067,8376,28850
1999-07-31,1399,7.3,,69.2,3946,,
1999-08-31,950,12.7,,57.9,4095,,
1999-09-30,2286,12.1,7669,78.3,4003,8058,29070
1999-10-31,1203,11.3,,65.6,4063,,
1999-11-30,2052,13.3,,75,4263,,
1999-12-31,666,11.1,7131,64,4091,8945,30630
2000-01-31,937,12.6,,53.6,4356,,
2000-02-29,1571,14.9,,74.4,4395,,
2000-03-31,1629,13.7,6333,80.4,4074,6578,30854
2000-04-30,1366,13.5,,71.1,4152,,
2000-05-31,1538,12.3,,72.7,4216,,
2000-06-30,1899,10.7,7298,70.6,4178,7277,30839
2000-07-31,2906,13.6,,77.5,4314,,
2000-08-31,1460,10.5,,64.9,4395,,
2000-09-30,1578,12.3,10162,78.9,4393,9612,30227
2000-10-31,1121,12,,67.6,4296,,
2000-11-30,1059,8.3,,66,3835,,
2000-12-31,1892,13.7,6069,74.9,3901,9225,33504
2001-01-31,1271,11,,68.2,3913,,
2001-02-28,1041,11.6,,69.7,3807,,
2001-03-31,971,12.6,4993,69.6,3636,7460,36024
2001-04-30,1577,15.3,,69.7,3858,,
2001-05-31,1017,13.7,,69.7,3610,,
2001-06-30,1474,11.1,7237,75,3251,12102,40927
2001-07-31,2294,11.4,,79.3,3063,,
2001-08-31,1353,11.1,,75.7,2764,,
2001-09-30,1974,12.6,9614,84,2511,8973,40451
2001-10-31,1062,11.5,,58,2537,,
2001-11-30,1892,17,,80.6,2469,,
2001-12-31,730,13.2,6744,68.8,2318,11123,44877
2002-01-31,2453,15.7,,87.7,2293,,
2002-02-28,2204,14.6,,89.8,2078,,
2002-03-31,2276,14.8,9373,82.7,2090,10609,46480
2002-04-30,1616,13.9,,85.9,1758,,
2002-05-31,1580,14.4,,77.7,1799,,
2002-06-30,2316,14.1,8947,81,1829,11493,49310
2002-07-31,2141,12.2,,80.4,1901,,
2002-08-31,2517,12.3,,90.3,1555,,
2002-09-30,1618,12.5,11177,86.5,1422,11581,49757
2002-10-31,2183,12.1,,86.5,1491,,
2002-11-30,2129,14,,81.7,1697,,
2002-12-31,3377,16.3,12439,92.5,1679,13911,51278
2003-01-31,1810,12.8,,88.1,1490,,
2003-02-28,1562,14.3,,84,1565,,
2003-03-31,1302,12.1,8365,86.2,1557,12511,55648
2003-04-30,2589,14.3,,89.7,1566,,
2003-05-31,2871,15.8,,84.4,1763,,
2003-06-30,2431,11,14204,83.6,1740,13586,54970
2003-07-31,2300,10.7,,85.1,1516,,
2003-08-31,2270,14.2,,82.1,1551,,
2003-09-30,2862,13.7,12827,86.6,1612,17679,59749
2003-10-31,2697,14.1,,83.4,1813,,
2003-11-30,1597,11.7,,77.5,1881,,
2003-12-31,1929,12.9,12215,82.7,2024,17436,64803
2004-01-31,2263,14.1,,85.9,2081,,
2004-02-29,1656,12.8,,83.2,1917,,
2004-03-31,1758,12.4,11067,85.6,1814,12114,65858
2004-04-30,2117,13.1,,80.5,1974,,
2004-05-31,2213,16.1,,91.2,1844,,
2004-06-30,3135,17.1,12312,80.8,2119,18872,72093
2004-07-31,2732,11.1,,74.9,2280,,
2004-08-31,3245,12.2,,84,2479,,
2004-09-30,2843,12.6,16090,76,2940,18026,74025
2004-10-31,3450,15.5,,73.4,3692,,
2004-11-30,2592,11.5,,80.3,3882,,
2004-12-31,3097,12.7,15336,76,3825,18884,77625
2005-01-31,2078,11.7,,68.4,4178,,
2005-02-28,2336,13.3,,80.4,4085,,
2005-03-31,4299,19,13729,84,4460,11948,75425
2005-04-30,3083,12.3,,82,4302,,
2005-05-31,3690,15,,79,4475,,
2005-06-30,3000,13.5,15821,78,4379,19304,78973
2005-07-31,4108,12.5,,71.3,4521,,
2005-08-31,4100,16.3,,85.2,4278,,
2005-09-30,2934,14.6,17547,84.5,3737,19408,81212
2005-10-31,3126,13.4,,88.2,3545,,
2005-11-30,2510,14.4,,76.9,3677,,
2005-12-31,2654,13.9,12241,76.8,3841,18747,87547
2006-01-31,3828,17.6,,88.1,3765,,
2006-02-28,4666,16.2,,90.8,3811,,
2006-03-31,1853,14.3,15605,80.3,3685,15117,86461
2006-04-30,3524,13.8,,85.9,3713,,
2006-05-31,3500,16,,83.4,3641,,
2006-06-30,2690,12.5,16373,80.9,3391,19242,89261
2006-07-31,4350,14,,81.1,3599,,
2006-08-31,3608,15,,79,3840,,
2006-09-30,3188,14.5,17931,82.5,3882,16164,87723
2006-10-31,3047,15.4,,85.6,3882,,
2006-11-30,2134,13.4,,51.1,4730,,
2006-12-31,3796,15.6,15746,81.2,5063,20238,92200
2007-01-31,5715,19.5,,88.7,4829,,
2007-02-28,3190,14.1,,85.9,4099,,
2007-03-31,2200,15.6,14817,80.9,3925,14194,91360
2007-04-30,2918,13,,86.5,3443,,
2007-05-31,3360,13.7,,85.5,3282,,
2007-06-30,3407,14.5,15494,79.8,3331,17754,93713
2007-07-31,4251,15.3,,77.2,3554,,
2007-08-31,2368,12.8,,74.7,3685,,
2007-09-30,2966,15,15655,80.6,3790,22538,100415
2007-10-31,2426,15.7,,74.6,3847,,
2007-11-30,2416,14,,76.9,3741,,
2007-12-31,2555,14.8,13030,84,3746,17227,104953
2008-01-31,2088,15.5,,80.4,3748,,
2008-02-29,4423,21.6,,88.4,3807,,
2008-03-31,2724,18.7,14074,79.6,3810,21788,111901
2008-04-30,4925,18,,91.2,3648,,
2008-05-31,4587,19.7,,93.4,3496,,
2008-06-30,3976,19.9,20325,86.2,3403,22966,113898
2008-07-31,3970,13.8,,82,3589,,
2008-08-31,3347,14.1,,81.9,3603,,
2008-09-30,4226,18.7,19395,80.7,4020,20994,114861
2008-10-31,4393,19.1,,87.2,4038,,
2008-11-30,4096,18.1,,78,4316,,
2008-12-31,3974,18.3,21884,84,4447,18587,110732
2009-01-31,3307,16,,86.6,4485,,
2009-02-28,3797,21.7,,89.5,4495,,
2009-03-31,2373,17,14327,74.6,4482,11142,107418
2009-04-30,4419,21.5,,85.7,4623,,
2009-05-31,4512,18.6,,78,4939,,
2009-06-30,4637,18.2,20697,74.3,5535,10557,96079
2009-07-31,2859,15.2,,75.5,5358,,
2009-08-31,3492,16.3,,74.9,5492,,
2009-09-30,3806,16.5,17779,72.3,5573,12761,90744
2009-10-31,2460,13.8,,62,5811,,
2009-11-30,3889,19.1,,76,5896,,
2009-12-31,4139,17.9,16168,77.5,6064,13940,88970
2010-01-31,4433,21.8,,72.8,6811,,
2010-02-28,2501,18.3,,72.7,6863,,
2010-03-31,2297,15.9,14093,83,6629,11971,86145
2010-04-30,2901,19,,74.5,6758,,
2010-05-31,3008,15.2,,76.7,6700,,
2010-06-30,4809,17.5,17099,74.2,7167,16720,85925
2010-07-31,5244,18.1,,83.1,7365,,
2010-08-31,3663,18.5,,88.3,7230,,
2010-09-30,3197,17.3,19485,79.3,7328,18087,85556
2010-10-31,3733,18.7,,80.3,7544,,
2010-11-30,3262,18.4,,83.4,7102,,
2010-12-31,2999,17.1,14711,76.5,7115,17735,88612
2011-01-31,2581,16.5,,73,7315,,
2011-02-28,3294,22.5,,81.2,6956,,
2011-03-31,2355,14.8,12879,77.9,6408,15879,91311
2011-04-30,2280,16,,78.5,6362,,
2011-05-31,3361,25.6,,73.9,6509,,
2011-06-30,6082,23.6,18407,83.6,6824,19925,92631
2011-07-31,3764,14.6,,74.7,6808,,
2011-08-31,4165,17.2,,78.4,6987,,
2011-09-30,4536,18,19364,82.4,6932,22443,96008
2011-10-31,2529,18.2,,77.1,6801,,
2011-11-30,3171,17.7,,81.9,6614,,
2011-12-31,3897,21.8,14524,77.4,6911,21294,102663
2012-01-31,3881,18.8,,76.4,7348,,
2012-02-29,1983,14.8,,75.1,7070,,
2012-03-31,3558,21.9,14956,73.9,7136,19534,106902
2012-04-30,2460,14.8,,74.6,7092,,
2012-05-31,3841,18.4,,80.5,6914,,
2012-06-30,3697,16,15307,73.7,7046,27400,118861
2012-07-31,4122,13.9,,71.8,7120,,
2012-08-31,4057,16.9,,78.5,7290,,
2012-09-30,3580,16.4,19804,74.1,7224,25782,124440
2012-10-31,4359,17.3,,74.6,7626,,
2012-11-30,3261,16.5,,77.5,7680,,
2012-12-31,3689,16.4,17599,74.4,8008,23193,129776
2013-01-31,2370,16,,70.9,8423,,
2013-02-28,3823,18.1,,85.1,8152,,
2013-03-31,3059,17.2,13803,80.1,8039,15537,129642
2013-04-30,5007,22.3,,88.1,7894,,
2013-05-31,5180,18.8,,79.8,8279,,
2013-06-30,3966,17.8,22641,84.6,7890,19664,127870
2013-07-31,4035,14.8,,74.4,7911,,
2013-08-31,2621,14,,73.8,7732,,
2013-09-30,3598,19.5,17821,74.1,7684,20987,131104
2013-10-31,2848,16.2,,74.1,7828,,
2013-11-30,4420,16.2,,80.2,7949,,
2013-12-31,3509,18.2,18925,78.4,8089,22305,134161
2014-01-31,3296,16.4,,79.4,7851,,
2014-02-28,3408,19.1,,75.1,7742,,
2014-03-31,3306,21.5,15355,79.3,7635,16781,135438
2014-04-30,4939,25.3,,85,7426,,
2014-05-31,3632,19.8,,81.1,7440,,
2014-06-30,4658,18.4,19239,80.8,7598,21416,137560
2014-07-31,6231,18.4,,83.7,7741,,
2014-08-31,3140,16.5,,75,7745,,
2014-09-30,3185,16.5,19975,78.1,7646,21340,139322
2014-10-31,3384,16.2,,78.4,7844,,
2014-11-30,3076,17.5,,78.7,7851,,
2014-12-31,4318,17.7,18869,80,7844,19422,139805
2015-01-31,11073,28.2,,88.6,8429,,
2015-02-28,5355,28,,86.8,8699,,
2015-03-31,5273,23.5,30010,84.4,8777,19452,129200
2015-04-30,3310,21.9,,83.5,8804,,
2015-05-31,4270,22.3,,72.6,9531,,
2015-06-30,7104,24.2,20937,89.3,8550,23187,131350
2015-07-31,5173,17.5,,81.7,8375,,
2015-08-31,3462,19.6,,77.9,8496,,
2015-09-30,4778,20.4,22200,88.2,8141,28388,137512
2015-10-31,3204,18.8,,83.6,7981,,
2015-11-30,3517,16.9,,76.4,8221,,
2015-12-31,4828,20.1,19635,85.1,8491,23725,140905
2016-01-31,5192,26.3,,89,8297,,
2016-02-29,3780,21.2,,74.9,8141,,
2016-03-31,3747,21.2,19367,86,7534,20606,142076
2016-04-30,2424,18.7,,79.3,7397,,
2016-05-31,4336,21.5,,86.5,7214,,
2016-06-30,3207,17.6,20677,79.3,7325,24198,145389
2016-07-31,4263,18.2,,80.8,7015,,
2016-08-31,3644,18.8,,84.7,6671,,
2016-09-30,4197,19.1,24652,89.5,6633,23781,143518
2016-10-31,4436,23.3,,85.7,6783,,
2016-11-30,3885,20,,80.5,6864,,
2016-12-31,4109,17.5,23137,84.4,7099,21758,141965
2017-01-31,4515,25,,90.4,7031,,
2017-02-28,3934,23.7,,86.2,7180,,
2017-03-31,3585,20.1,19385,84.4,7193,22637,144899
2017-04-30,4141,21.4,,86.5,7421,,
2017-05-31,3580,19.5,,88.7,7000,,
2017-06-30,3983,19.3,20018,90.3,6618,23364,148795
2017-07-31,3052,14,,82.8,5989,,
2017-08-31,3882,24.3,,90.6,5817,,
2017-09-30,4018,18.4,21636,91.3,5537,26483,153203
2017-10-31,3389,19.8,,86,5645,,
2017-11-30,2772,17.6,,76,5835,,
2017-12-31,3104,18.5,20942,83.9,5875,30099,162282
2018-01-31,3557,21.3,,88.5,5478,,
2018-02-28,4700,21.4,,87.6,5635,,
2018-03-31,2710,18.2,19543,92.7,5261,25595,167844
2018-04-30,2627,23.1,,88.9,5049,,
2018-05-31,3989,20.5,,91.4,5044,,
2018-06-30,4044,18.1,22117,87.4,4965,29433,174325
2018-07-31,3694,16.5,,78.6,5135,,
2018-08-31,2170,16.9,,74.8,5257,,
2018-09-30,5096,21.9,24766,89,5071,25990,174757
2018-10-31,4387,21.6,,92,4861,,
2018-11-30,4431,19.9,,74.9,5476,,
2018-12-31,4946,21.1,25482,87.5,5659,31383,179988
2019-01-31,3377,19.5,,83.8,5606,,
2019-02-28,2231,20.8,,74.9,5460,,
2019-03-31,3204,23.6,18617,86.6,5407,22824,184012
2019-04-30,4487,21.1,,89.3,5429,,
2019-05-31,2670,16.1,,88.2,5046,,
2019-06-30,3218,18.6,24756,85.6,4805,34202,193178
2019-07-31,4911,23.2,,88,4895,,
2019-08-31,3449,19.7,,77.8,5459,,
2019-09-30,2731,21.5,28789,86.1,5419,31850,195771
,,,,,,,
,,,,0.188231616,,,
,,,,0.811768384,,,
