"Housing Completions by Dwelling Type (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HCDMA
"Housing Completions by Dwelling Type (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HCDMA50
"Housing Completions by Dwelling Type (in Census Metropolitan Areas, Census Agglomerations, and other selected municipalities with at least 10,000 people)",HCDMA10
"Housing Completions by Intended Market (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HCIMA50
Housing Completions by Intended Market (In Census Metropolitan Areas),HCIMA
"Housing Completions by Intended Market (In Census Metropolitan Areas, Census Agglomerations, and other, selected municipalities with at least 10,000 people)",HCIMA10
"Housing Homeowner and Condominium Units Absorbed at Completion by Dwelling Type (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HACD50
Housing Homeowner and Condominium Units Absorbed at Completion by Dwelling Type (In Census Metropolitan Areas),HACDMA
"Housing Homeowner and Condominium Units Absorbed at Completion by Intended Market (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HACI50
Housing Homeowner and Condominium Units Absorbed at Completion by Intended Market (In Census Metropolitan Areas),HACIMA
"Housing Inventory of Completed and Unabsorbed Homeowner and Condominium Units by Dwelling Type (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HCUD50
Housing Inventory of Completed and Unabsorbed Homeowner and Condominium Units by Dwelling Type (In Census Metropolitan Areas),HCUDMA
Housing Standards (% of Households in Core Housing Need),HOSCHNP
Housing Standards (Households in Core Housing Need),HOSCHN
Housing Standards (Households Tested for Core Housing Need),HOSTTCHN
Housing Starts by Dwelling Type (All Areas),HSDAA
"Housing Starts by Dwelling Type (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HSDMA50
"Housing Starts by Dwelling Type (in Census Metropolitan Areas, Census Agglomerations, and other selected municipalities with at least 10,000 people)",HSDMA10
Housing Starts by Dwelling Type (In Census Metropolitan Areas,HSDMA
Housing Starts by Dwelling Type - Seasonally Adjusted (All Areas),HSDAAS
"Housing Starts by Dwelling Type - Seasonally Adjusted (in Census Metropolitan Areas, Census Agglomerations, and other selected municipalities with at least 10,000 people)",HSDMA10S
"Housing Starts by Intended Market (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HSIMA50
Housing Starts by Intended Market (In Census Metropolitan Areas),HSIMA
"Housing Starts by Intended Market (In Census Metropolitan Areas, Census Agglomerations, and other, selected municipalities with at least 10,000 people)",HSIMA10
Housing Suitability (%),HSUITP
Housing Suitability,HSUIT
Housing Under Construction Inventory by Dwelling Type (All Areas),HUDAA
"Housing Under Construction Inventory by Dwelling Type (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HUDMA
"Housing Under Construction Inventory by Dwelling Type (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HUDMA50
"Housing Under Construction Inventory by Dwelling Type (in Census Metropolitan Areas, Census Agglomerations, and other selected municipalities with at least 10,000 people)",HUDMA10
"Housing Under Construction Inventory by Intended Market (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HUIMA50
Housing Under Construction Inventory by Intended Market (In Census Metropolitan Areas),HUIMA
"Housing Under Construction Inventory by Intended Market (In Census Metropolitan Areas, Census Agglomerations, and other, selected municipalities with at least 10,000 people)",HUIMA10
Immigrant Households (% of Households in Core Housing Need),IHCHNP
Immigrant Households (%),IHHP
Immigrant Households (Households in Core Housing Need),IHCHN
Immigrant Households (Households Tested for Core Housing Need),IHTCHN
Immigrant Households,IHH
Incomes and Shelter Costs (Households in Core Housing Need),ISCCHN
Incomes and Shelter Costs (Households Tested for Core Housing Need),ISCTCHN
Median Value of Owner-occupied Dwellings ($),MVOOD
Monthly Shelter Costs - Average and Median ($),MSCAM
Monthly Shelter Costs - Ranges (%),MSCRP
Monthly Shelter Costs - Ranges,MSCR
Period of Construction and Condition of Dwelling (%),PCCDP
Period of Construction and Condition of Dwelling,PCCD
Primary Household Maintainers Who Moved in the Previous 5 Years (65 and Over),PHMM565
Primary Household Maintainers Who Moved in the Previous 5 Years (All Households),PHMM5AH
Primary Household Maintainers Who Moved in the Previous Year (65 and Over) (%),PHMM565P
Primary Household Maintainers Who Moved in the Previous Year (All Households) (%),PHMM5AHP
Seniors' Number of Units and Proportion of Overall Universe for Bachelor Units and Private Rooms where Meals are included in Rent,SUPUM
Seniors' Proportion (%) of Standard Spaces by Rent Range,SPSR
Seniors' Rental Housing Vacancy Rates by Unit Type,SRVU
Seniors' Spaces by Unit Type,SSUT
Seniors' Universe of Standard Spaces By Bedroom Type,SUDB
"Seniors' Universe, Number of Residents Living in Universe and Capture Rate (%)",SHUN
Seniors' Vacancy Rate and Average Rent for Bachelor/Private Rooms with Meals included in Rent,SVRPM
Seniors' Vacancy Rate and Average Rent for Heavy Care Spaces,SVRH
STIR (Households in Core Housing Need),STIRCHN
STIR (Households Tested for Core Housing Need),STIRTCHN
Vacancy Rates by Bedroom Type,PRVBT
Vacancy Rates by Rent Quartiles,PRVRQ
Vacancy Rates by Rent Ranges,PRVRR
Vacancy Rates by Structure Size,PRVSS
Vacancy Rates by Year of Construction,PRVYC
